Audio,PalavraAlvo,Item,Group
VAQUINHA1.mp3,LEITE,1,A
MACACO1.mp3,FLORESTA,2,A
PIRANHA1.mp3,PEIXE,3,A
PERUA1.mp3,FAZENDA,4,A
GATO1.mp3,RACAO,5,A
AVIAOZINHO1.mp3,ALCOOL,6,A
MOCA1.mp3,ACUCAR,7,A
BRUXA1.mp3,INSETO,8,A
CAIPIRINHA1.mp3,COPO,9,A
BEIJINHO1.mp3,COCADA,10,A
FLANELINHA1.mp3,TATU,11,A
BUCHINHA1.mp3,VENTANIA,12,A
PAPELAO1.mp3,MOSQUITO,13,A
MOCHILAO1.mp3,VITRINE,14,A
CAIXAO1.mp3,BORBOLETA,15,A
TOLUCA1.mp3,TOLUCA,16,A
PANDECA1.mp3,PANDECA,17,A
VILCOLTO1.mp3,VILCOLTO,18,A
TREMOCO1.mp3,TREMOCO,19,A
AZEDUME1.mp3,AZEDUME,20,A
BOCAL1.mp3,BOCAL,21,A
SIDEBO1.mp3,SIDEBO,22,A
ASTUCIA1.mp3,ASTUCIA,23,A
LINETO1.mp3,LINETO,24,A
BALAUSTRE1.mp3,BALAUSTRE,25,A
CALOREDA1.mp3,CALOREDA,26,A
POCILGA1.mp3,POCILGA,27,A
PARAVO1.mp3,PARAVO,28,A
EFLUVIO1.mp3,EFLUVIO,29,A
BINOTA1.mp3,BINOTA,30,A
LABEU1.mp3,LABEU,31,A
DINOSCADO1.mp3,DINOSCADO,32,A
CUNTATORIO.mp3,CUNTATORIO,33,A
MOSFIGUE1.mp3,MOSFIGUE,34,A
INOCUO1.mp3,INOCUO,35,A
BATISCARIA1.mp3,BATISCARIA,36,A
LOQUAZ1.mp3,LOQUAZ,37,A
CHECARIO1.mp3,CHECARIO,38,A
QUIMERA1.mp3,QUIMERA,39,A
GUETIACHO1.mp3,GUETIACHO,40,A
RUFIAO1.mp3,RUFIAO,41,A
PITEDA1.mp3,PITEDA,42,A
TREBODA1.mp3,TREBODA,43,A
ZARAGATOA1.mp3,ZARAGATOA,44,A
BELICOSO1.mp3,BELICOSO,45,A
VAQUINHA1.mp3,DOACAO,1,B
MACACO1.mp3,FERRAMENTA,2,B
PIRANHA1.mp3,PENTE,3,B
PERUA1.mp3,VEICULO,4,B
GATO1.mp3,FIACAO,5,B
AVIAOZINHO1.mp3,TOMATE,6,B
MOCA1.mp3,JANELA,7,B
BRUXA1.mp3,CANETA,8,A
CAIPIRINHA1.mp3,MAPA,9,A
BEIJINHO1.mp3,AGULHA,10,B
FLANELINHA1.mp3,PANO,11,B
BUCHINHA1.mp3,LIMPEZA,12,B
PAPELAO1.mp3,RECICLAGEM,13,B
MOCHILAO1.mp3,ESTOJO,14,B
CAIXAO1.mp3,EMBALAGEM,15,B
TOLUCA1.mp3,TOLUCA,16,B
PANDECA1.mp3,PANDECA,17,B
VILCOLTO1.mp3,VILCOLTO,18,B
TREMOCO1.mp3,TREMOCO,19,B
AZEDUME1.mp3,AZEDUME,20,B
BOCAL1.mp3,BOCAL,21,B
SIDEBO1.mp3,SIDEBO,22,B
ASTUCIA1.mp3,ASTUCIA,23,B
LINETO1.mp3,LINETO,24,B
BALAUSTRE1.mp3,BALAUSTRE,25,B
CALOREDA1.mp3,CALOREDA,26,B
POCILGA1.mp3,POCILGA,27,B
PARAVO1.mp3,PARAVO,28,B
EFLUVIO1.mp3,EFLUVIO,29,B
BINOTA1.mp3,BINOTA,30,B
LABÉU1.mp3,LABÉU,31,B
DINOSCADO1.mp3,DINOSCADO,32,B
CUNTATORIO.mp3,CUNTATORIO,33,B
MOSFIGUE1.mp3,MOSFIGUE,34,B
INOCUO1.mp3,INOCUO,35,B
BATISCARIA1.mp3,BATISCARIA,36,B
LOQUAZ1.mp3,LOQUAZ,37,B
CHECARIO1.mp3,CHECARIO,38,B
QUIMERA1.mp3,QUIMERA,39,B
GUETIACHO1.mp3,GUETIACHO,40,B
RUFIAO1.mp3,RUFIAO,41,B
PITEDA1.mp3,PITEDA,42,B
TREBODA1.mp3,TREBODA,43,B
ZARAGATOA1.mp3,ZARAGATOA,44,B
BELICOSO1.mp3,BELICOSO,45,B
VAQUINHA1.mp3,CHAVE,1,C
MACACO1.mp3,FOGUETE,2,C
PIRANHA1.mp3,PLACA,3,C
PERUA1.mp3,CARTOLA,4,C
GATO1.mp3,BALCAO,5,C
AVIAOZINHO1.mp3,PILOTO,6,C
MOCA1.mp3,MULHER,7,C
BRUXA1.mp3,FEITICO,8,C
CAIPIRINHA1.mp3,ROCA,9,C
BEIJINHO1.mp3,CARINHO,10,C
FLANELINHA1.mp3,BANANA,11,C
BUCHINHA1.mp3,ELASTICO,12,C
PAPELAO1.mp3,VERGONHA,13,C
MOCHILAO1.mp3,VIAGEM,14,C
CAIXAO1.mp3,SEPULTURA,15,C
TOLUCA1.mp3,TOLUCA,16,C
PANDECA1.mp3,PANDECA,17,C
VILCOLTO1.mp3,VILCOLTO,18,C
TREMOCO1.mp3,TREMOCO,19,C
AZEDUME1.mp3,AZEDUME,20,C
BOCAL1.mp3,BOCAL,21,C
SIDEBO1.mp3,SIDEBO,22,C
ASTUCIA1.mp3,ASTUCIA,23,C
LINETO1.mp3,LINETO,24,C
BALAUSTRE1.mp3,BALAUSTRE,25,C
CALOREDA1.mp3,CALOREDA,26,C
POCILGA1.mp3,POCILGA,27,C
PARAVO1.mp3,PARAVO,28,C
EFLUVIO1.mp3,EFLUVIO,29,C
BINOTA1.mp3,BINOTA,30,C
LABEU1.mp3,LABEU,31,C
DINOSCADO1.mp3,DINOSCADO,32,C
CUNTATORIO.mp3,CUNTATORIO,33,C
MOSFIGUE1.mp3,MOSFIGUE,34,C
INOCUO1.mp3,INOCUO,35,C
BATISCARIA1.mp3,BATISCARIA,36,C
LOQUAZ1.mp3,LOQUAZ,37,C
CHECARIO1.mp3,CHECARIO,38,C
QUIMERA1.mp3,QUIMERA,39,C
GUETIACHO1.mp3,GUETIACHO,40,C
RUFIAO1.mp3,RUFIAO,41,C
PITEDA1.mp3,PITEDA,42,C
TREBODA1.mp3,TREBODA,43,C
ZARAGATOA1.mp3,ZARAGATOA,44,C
BELICOSO1.mp3,BELICOSO,45,C
